PID,location_id,StateFIPS,StatePostal,StateName,StatePolicy,Mandate,StateWide,SWGeo,SWPop,DateIssued,DateEnacted,DateExpiry,DateEnded,Extends,Expands,Eases,Ends,Depends,PolicyCodingNotes,PolicySource,PolicySourceID,LastUpdated,LastUpdatedNotes,UpdatingSource1,UpdatingSource2
AL0038,523,1,AL,Alabama,StayAtHome,0,1,1,1,20200508,20200508,20200522,,AL0027,,,,,"Continues recommendation for all individuals, especially vulnerable persons, to minimize travel outside the home",https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-050820.pdf,Alabama0009,20200511,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0043,523,1,AL,Alabama,BusinessHealthSafety,1,1,1,1,20200508,20200511,20200522,,AL0031,,,,,Extends business safety mandates required for re-opening of businesses and/or easing of restrictions. Also updates Alabama safety overview https://alabamapublichealth.gov/covid19/assets/cov-sah-businesses.pdf,https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-050820.pdf,Alabama0009,20200511,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0042,523,1,AL,Alabama,GathRestrict10,1,1,1,1,20200508,20200511,20200522,,AL0029,AL0029,,,,Extends restriction on gatherings and expands the restriction to prohibiting any number of group that cannot maintain at least 6 ft distancing. Coding currently to GathRestrict5,https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-050820.pdf,Alabama0009,20200511,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0041,523,1,AL,Alabama,GathRestrictAny,1,1,1,1,20200508,20200511,20200522,,AL0030,,,,,Extends restriction on any non-work gatherings of any size,https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-050820.pdf,Alabama0009,20200511,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0044,523,1,AL,Alabama,OtherBusinessClose,1,1,1,1,20200508,20200511,20200522,,AL0032,,,,AL0043,Continues policies that allow eased restrictions for in-person retail services,https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-050820.pdf,Alabama0009,20200511,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0045,523,1,AL,Alabama,OtherBusinessClose,1,1,1,1,20200508,20200511,20200522,,,,AL0034,,AL0043,"Eases restrictions on close-contact service providers and athletic facilities and recreational centers to resume in-person services if they follow broad and specific guidelines. Such close-contact businesses include barber shops, hair salons, waxing salons, threading salons, nail salons and spas, body art facilities, tattoo services, and massage therapy establishments and services, with requirements that all employees wear mask or facial covering, social distancing, sanitation. Such athletic facility/recreational centers (gyms, spas, yoga, barre), have to maintain 6 ft or more distancing, no more than 50 percent capacity, all employees wear masks or facial covering.",https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-050820.pdf,Alabama0009,20200511,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0046,523,1,AL,Alabama,OtherBusinessClose,1,1,1,1,20200508,20200511,20200522,,AL0034,,,,,"Extends closure of the following types of non-essential businesses: entertainment venues (night clubs, bowling alleys, concert venues, racetracks, casinos)",https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-050820.pdf,Alabama0009,20200511,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0047,523,1,AL,Alabama,OtherBusinessClose,1,1,1,1,20200508,20200511,20200522,,AL0033,,,,,"Continues beach eased restrictions, requiring at least 6 ft social distancing",https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-050820.pdf,Alabama0009,20200511,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0049,523,1,AL,Alabama,RestaurantRestrict,1,1,1,1,20200508,20200511,,,,,AL0036,,,"Eases restaurant restrictions such that on-premises consumption can happen, but party size must be limited to no more than 8 people and maintain at least 6 ft separation, employees must wear masks or facial coverings, and no self-serve services (eg buffets). Also must follow restaurant and bar guidelines https://alabamapublichealth.gov/covid19/assets/cov-sah-restaurants-bars.pdf",https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-050820.pdf,Alabama0009,20200511,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AL0048,523,1,AL,Alabama,SchoolClose,1,1,1,1,20200508,20200511,,,AL0035,,,,,"Extends closure of all schools' in-person instruction (private and public), elementary, secondary, postsecondary, technical or specialty, colleges and universities",https://www.alabamapublichealth.gov/legal/assets/order-adph-cov-gatherings-050820.pdf,Alabama0009,20200511,,https://governor.alabama.gov/newsroom/category/state-of-emergency/,https://www.alabamapublichealth.gov/legal/orders.html
AK0001,524,2,AK,Alaska,EmergDec,1,1,1,1,20200311,20200311,,,,,,,,Public Health Emergency declared. No clear expiry provided.,https://gov.alaska.gov/wp-content/uploads/sites/2/COVID-19-Disaster-Packet.pdf,Alaska0001,20200324,,https://covid19.alaska.gov/health-mandates/,
AK0002,524,2,AK,Alaska,SchoolClose,1,1,1,1,20200313,20200316,20200331,,,,,,,"All public schools will not have students attending in-person between March 16 and March 30, 2020, and all school activities are suspended. Initial expiry is coded as 20200331.",http://dhss.alaska.gov/News/Documents/press/2020/SOA_03132020_COVID-19_HealthMandate.pdf,Alaska0002,20200425,Added initial DateExpiry of 20200331,https://covid19.alaska.gov/health-mandates/,
AK0013,524,2,AK,Alaska,SchoolClose,1,1,1,1,20200316,20200316,,,,AK0002,,,,"Residental school programs are to begin the process of returning students to families and home communities. Complete this process by March 27, 2020",https://gov.alaska.gov/wp-content/uploads/sites/2/03.16.20-COVID-19-Health-Mandate-002.pdf,Alaska0003,20200425,,https://covid19.alaska.gov/health-mandates/,
AK0003,524,2,AK,Alaska,OtherBusinessClose,1,1,1,1,20200316,20200317,20200401,,,,,,,"All libraries, archives, and museums to be closed from March 17 through March 31. Expiry date to be coded as 20200401",https://gov.alaska.gov/wp-content/uploads/sites/2/03.16.20-COVID-19-Health-Mandate-002.pdf,Alaska0003,20200425,Added initial DateExpiry of 20200401,https://covid19.alaska.gov/health-mandates/,
AK0004,524,2,AK,Alaska,RestaurantRestrict,1,1,1,1,20200317,20200318,20200401,,,,,,,"Limited operations required (delivery, window service, walk-up, drive through only permitted): restaurants, bars, breweries, food trucks. In effect at 5 pm on 20200318, continuing until 5 pm on 20200401. Expiry coded to 20200401.",https://gov.alaska.gov/wp-content/uploads/sites/2/03172020-SOA-COVID-19-Health-Mandate-003.pdf,Alaska0009,20200426,Added initial DateExpiry of 20200401,https://covid19.alaska.gov/health-mandates/,
AK0017,524,2,AK,Alaska,SchoolClose,1,1,1,1,20200320,20200320,20200502,,AK0013,AK0013,,,,"Expands AK0002 to all public and private schools. Extends closure through 20200501, so expires on 20200502. ",https://gov.alaska.gov/wp-content/uploads/sites/2/03202020-SOA-COVID-19-Health-Mandate-008.pdf,Alaska0006,20200425,,https://covid19.alaska.gov/health-mandates/,
AK0015,524,2,AK,Alaska,GathRestrict10,1,0,0,1,20200320,20200321,,,,,,,,(quote) no gatherings of more than 10 people may take place (quote). Mandated for Fairbanks North Star Borough and Kethikan Gateway Borough only. No expiry provided.,https://gov.alaska.gov/wp-content/uploads/sites/2/03202020-SOA-COVID-19-Health-Mandate-007.pdf,Alaska0005,20200425,,https://covid19.alaska.gov/health-mandates/,
AK0016,524,2,AK,Alaska,GathRestrictAny,1,0,0,1,20200320,20200321,,,,,,,,(quote) no gatherings of more than 10 people may take place (quote). Mandated for Fairbanks North Star Borough and Kethikan Gateway Borough only. No expiry provided.,https://gov.alaska.gov/wp-content/uploads/sites/2/03202020-SOA-COVID-19-Health-Mandate-007.pdf,Alaska0005,20200425,,https://covid19.alaska.gov/health-mandates/,
AK0014,524,2,AK,Alaska,OtherBusinessClose,1,0,0,1,20200320,20200321,,,,,,,,"Closure required: hair salons, day spas, nail salons, barber shops, tattoo shops, body piercings, massage therapy, tanning. Mandated for Fairbanks North Star Borough and Kethikan Gateway Borough only. No expiry provided.",https://gov.alaska.gov/wp-content/uploads/sites/2/03202020-SOA-COVID-19-Health-Mandate-007.pdf,Alaska0005,20200425,,https://covid19.alaska.gov/health-mandates/,
AK0005,524,2,AK,Alaska,StayAtHome,1,0,0,1,20200320,20200322,20200401,,,,,,,"Only applicable to Anchorage. Enacted at 10 pm on 20200322, in effect through 1159 pm on 20200331, so coded to 20200401.",https://www.muni.org/departments/mayor/pressreleases/documents/eo-03.pdf,Alaska0010,20200426,Added initial DateExpiry of 20200401,https://covid19.alaska.gov/health-mandates/,
AK0006,524,2,AK,Alaska,GathRestrict10,1,1,1,1,20200323,20200324,,,,AK0015,,,,"(quote) No gatherings of more than 10 people may take place (quote). Issued 20200323, in effect on 20200324 at 500 pm. Expands the more focal gathering restriction for AK0015",https://gov.alaska.gov/wp-content/uploads/sites/2/03232020-SOA-COVID-19-Health-Mandate-009.pdf,Alaska0007,20200425,Removed expiry since it is in effect until the governor rescinds or modifies the order,https://covid19.alaska.gov/health-mandates/,
AK0007,524,2,AK,Alaska,GathRestrictAny,1,1,1,1,20200323,20200324,,,,AK0016,,,,"(quote) No gatherings of more than 10 people may take place (quote). Issued 20200323, in effect on 20200324 at 500 pm. Expands the more focal gathering restriction for AK0016",https://gov.alaska.gov/wp-content/uploads/sites/2/03232020-SOA-COVID-19-Health-Mandate-009.pdf,Alaska0007,20200425,Removed expiry since it is in effect until the governor rescinds or modifies the order,https://covid19.alaska.gov/health-mandates/,
AK0008,524,2,AK,Alaska,OtherBusinessClose,1,1,1,1,20200323,20200324,,,,AK0014,,,,"Closure required: hair salons, day spas, nail salons, barber shops, tattoo shops, body piercings, massage therapy, tanning. Issued 20200323, in effect on 20200324 at 500 pm",https://gov.alaska.gov/wp-content/uploads/sites/2/03232020-SOA-COVID-19-Health-Mandate-009.pdf,Alaska0007,20200425,Removed expiry since it is in effect until the governor rescinds or modifies the order,https://covid19.alaska.gov/health-mandates/,
AK0009,524,2,AK,Alaska,Quarantine,1,1,1,1,20200323,20200325,20200421,,,,,,,Mandates 14 day quarantine for all people arriving in Alaska from any point of origin (international or interstate),https://gov.alaska.gov/wp-content/uploads/sites/2/03232020-SOA-COVID-19-Health-Mandate-010.pdf,Alaska0008,20200331,,https://covid19.alaska.gov/health-mandates/,
AK0010,524,2,AK,Alaska,NEBusinessClose,1,1,1,1,20200327,20200328,20200411,,,AK0008,,,,In effect as of 5 pm on 20200328. To be reevaluated on 20200411. Expands AK0008 as it now applies to all non-essential businesses,https://gov.alaska.gov/wp-content/uploads/sites/2/03272020-SOA-COVID-19-Health-Mandate-011.pdf,Alaska0011,20200330,,https://covid19.alaska.gov/health-mandates/,
AK0020,524,2,AK,Alaska,RestaurantRestrict,1,1,1,1,20200327,20200328,20200411,,AK0004,,,,,Extends restrictions on restaurant operations to 20200411.,https://gov.alaska.gov/wp-content/uploads/sites/2/03272020-SOA-COVID-19-Health-Mandate-011.pdf,Alaska0011,20200426,,https://covid19.alaska.gov/health-mandates/,
AK0011,524,2,AK,Alaska,StayAtHome,1,1,1,1,20200327,20200328,20200411,,AK0005,AK0005,,,,In effect as of 5 pm on 20200328. To be reevaluated on 20200411. Expands AK0005 as it is a statewide order and extends to 20200411,https://gov.alaska.gov/wp-content/uploads/sites/2/03272020-SOA-COVID-19-Health-Mandate-011.pdf,Alaska0011,20200330,,https://covid19.alaska.gov/health-mandates/,
AK0012,524,2,AK,Alaska,TravelRestrictIntra,1,1,1,1,20200327,20200328,20200411,,,,,,,Travel between communities banned unless for critical personal or infastructure needs. ,https://gov.alaska.gov/newsroom/2020/03/27/governor-issues-covid-19-health-mandates-on-social-distancing-limiting-intrastate-travel-2/,Alaska0012,20200331,,https://covid19.alaska.gov/health-mandates/,
